"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,Inicio,Fin,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"Coste por Application","All Leads","Coste por All Leads","event registration","Coste por event registration",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Coste por ThruPlay",Objetivo,"Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - LLA - Image",BG_AllCourses_EN_Lookalike_AllPlacements_StaticBanner_LevelUpYourCareer,2024-12-31,2023-05-03,"En curso",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
"RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP - NO",Prospecting_FBAudience_Interests,AllPlacements_Static,2024-12-31,2024-06-26,2024-07-10,"Con el presupuesto del conjunto de anuncios",,23,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_Visuals - Copy",2024-12-31,2024-04-29,2024-05-14,"Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_Data,2024-12-31,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - All Leads - Image",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_TransformYourCareer,2024-12-31,2023-05-03,"En curso",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_ML,"Data Analysis","DataScience_EN_Prospecting_AllPlacements_Video - Copy",2024-12-31,2024-05-03,2024-05-30,686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Awareness_Omnipresent,07_Broad_LearnByDoing,07_Image_LearnByDoing,2024-12-31,2025-07-01,"En curso","Con el presupuesto del conjunto de anuncios",,1,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_AWARENESS,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Marta_July24,2024-12-31,2024-07-26,"En curso",104,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN_DA,"DA - Web Application",UGC_AllCourses_EN_Prospecting_AllPlacements_ChatGPTShortVersion,2024-12-31,2023-07-13,2023-07-26,100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_DV,"DevOps + Cloud","New Sales Ad - Copy 2",2024-12-31,2024-05-03,2024-05-30,3869,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool,Programs,AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner,2024-12-31,2024-03-07,2024-04-07,"Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_EN_CBO,Prospecting_FBAudience_Marie_2410,Video_AllPlacements_Static,2024-12-31,2024-09-11,"En curso","Con el presupuesto del conjunto de anuncios",,54,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
